,created,text,boro,boro_code,street,alarm,test
0,2020-03-01T03:39:42Z,"QNS ALLHANDS 150-35 115 AVE, PRIVATE DWELLING FIRE 2ND FL, UNDER CONTROL",QN,4,150-35 115 AVE,9,150-35 115 ave
1,2020-02-29T22:05:04Z,"QNS 2-ALARM IFO 85-15 165 AVE, BRUSH FIRE (GATEWAY PARK) UNDER CONTROL",QN,4,IFO 85-15 165 AVE,9,ifo 85-15 165 ave
2,2020-02-29T20:45:29Z,"QNS 2-ALARM IFO 85-15 165 AVE, BRUSH FIRE (GATEWAY PARK)",QN,4,IFO 85-15 165 AVE,2,ifo 85-15 165 ave
3,2020-02-29T20:17:11Z,"QNS ALLHANDS IFO 85-15 165 AVE, BRUSH FIRE (GATEWAY PARK)",QN,4,IFO 85-15 165 AVE,1,ifo 85-15 165 ave
4,2020-02-29T17:14:11Z,"BX ALLHANDS 393 E 149 ST, MULTIPLE DWELLING FIRE ON 1ST FLR,",BX,2,393 E 149 ST,1,393 e 149 st
5,2020-02-29T12:01:04Z,"QNS ALLHANDS 85-41 ETON ST, PRIVATE DWELLING FIRE,",QN,4,85-41 ETON ST,1,85-41 eton st
6,2020-02-29T11:18:29Z,"MAN ALLHANDS 1111 PARK AVE, MULTIPLE DWELLING FIRE 4TH FLR, UNDER CONTROL",MH,1,1111 PARK AVE,9,1111 park ave
7,2020-02-29T10:41:48Z,"MAN ALLHANDS 1111 PARK AVE, MULTIPLE DWELLING FIRE 4TH FLR,",MH,1,1111 PARK AVE,1,1111 park ave
8,2020-02-29T07:26:08Z,"BX ALLHANDS 3224 SCHLEY AVE, PRIVATE DWELLING FIRE ON 1ST FLR,",BX,2,3224 SCHLEY AVE,1,3224 schley ave
9,2020-02-29T06:26:30Z,"MAN ALLHANDS 204 E 13 ST, MULTIPLE DWELLING FIRE ON 3RD FLR,",MH,1,204 E 13 ST,1,204 e 13 st
10,2020-02-29T06:23:02Z,"BX ALLHANDS 3339 FISH AVE, PRIVATE DWELLING FIRE 2RD FLR, UNDER CONTROL",BX,2,3339 FISH AVE,9,3339 fish ave
11,2020-02-29T05:58:13Z,"BKLYN ALLHANDS 1188 FULTON ST, COMMERCIAL FIRE STORE, UNDER CONTROL",BK,3,1188 FULTON ST,9,1188 fulton st
12,2020-02-29T05:56:57Z,"QNS ALLHANDS 40-20 249 STREET, PRIVATE DWELLING FIRE IN BASEMENT, UNDER CONTROL",QN,4,40-20 249 STREET,9,40-20 249 street
13,2020-02-29T05:44:14Z,"BX ALLHANDS 3339 FISH AVE, PRIVATE DWELLING FIRE 2RD FLR,",BX,2,3339 FISH AVE,1,3339 fish ave
14,2020-02-29T05:43:39Z,"BKLYN ALLHANDS 188 FULTON ST, COMMERCIAL FIRE STORE,",BK,3,188 FULTON ST,1,188 fulton st
15,2020-02-29T00:18:55Z,"BKLYN ALLHANDS 1357 EASTERN PKWY, MULTIPLE DWELLING FIRE IN APT 1A, UNDER CONTROL",BK,3,1357 EASTERN PKWY,9,1357 eastern pkwy
16,2020-02-28T23:38:02Z,"BKLYN ALLHANDS 1357 EASTERN PKWY, FIRE IN APT 1A,",BK,3,1357 EASTERN PKWY,1,1357 eastern pkwy
17,2020-02-28T20:42:42Z,"BKLYN 2-ALARM 372 TEN EYCK ST, COMMERCIAL FIRE ON 1ST FLR, UNDER CONTROL",BK,3,372 TEN EYCK ST,9,372 ten eyck st
18,2020-02-28T17:48:12Z,"BKLYN ALLHANDS 601 VANSINDEREN AVE, COMMERCIAL RUBBISH FIRE IN REAR OF FACTORY,",BK,3,601 VANSINDEREN AVE,1,601 vansinderen ave
19,2020-02-28T17:31:19Z,"BKLYN 2-ALARM 372 TEN EYCK ST, COMMERCIAL FIRE ON 1ST FLR,",BK,3,372 TEN EYCK ST,2,372 ten eyck st
20,2020-02-28T11:32:44Z,"QNS ALLHANDS 108-55 67 DR, PRIVATE DWELLING FIRE ON ROOF, UNDER CONTROL",QN,4,108-55 67 DR,9,108-55 67 dr
21,2020-02-28T09:50:26Z,"BKLYN ALLHANDS 349 CLIFTON PL, MULTIPLE DWELLING FIRE ON THE TOP FLR, UNDER CONTROL",BK,3,349 CLIFTON PL,9,349 clifton pl
22,2020-02-28T09:40:17Z,"BKLYN ALLHANDS 349 CLIFTON PL, MULTIPLE DWELLING FIRE ON THE TOP FLR,",BK,3,349 CLIFTON PL,1,349 clifton pl
23,2020-02-28T00:53:31Z,"BKLYN ALLHANDS 3044 AVE V, MULTIPLE DWELLING FRE ON THE 2ND FLR, UNDER CONTROL",BK,3,3044 AVE V,9,3044 ave v
